YearMonth,ProductCategory,CashWagers_M,NAGGR_M,WagerShare,GGRShare
2022-04,CASINO,492,17.3,0.66,0.65
2022-04,SPORTS,209,7.4,0.28,0.28
2022-04,POKER,45,1.6,0.06,0.06
2022-05,CASINO,516,20.1,0.67,0.65
2022-05,SPORTS,208,9.0,0.27,0.29
2022-05,POKER,46,2.5,0.06,0.08
2022-06,CASINO,520,19.9,0.69,0.64
2022-06,SPORTS,196,9.0,0.26,0.29
2022-06,POKER,38,0.9,0.05,0.03
2022-07,CASINO,473,18.9,0.69,0.72
2022-07,SPORTS,178,7.3,0.26,0.28
2022-07,POKER,34,1.3,0.05,0.05
2022-08,CASINO,468,19.8,0.7,0.76
2022-08,SPORTS,167,7.3,0.25,0.28
2022-08,POKER,33,1.3,0.05,0.05
2022-09,CASINO,497,21.7,0.7,0.71
2022-09,SPORTS,178,9.8,0.25,0.32
2022-09,POKER,36,2.7,0.05,0.09
2022-10,CASINO,515,23.0,0.69,0.72
2022-10,SPORTS,194,8.6,0.26,0.27
2022-10,POKER,37,2.2,0.05,0.07
2022-11,CASINO,526,21.7,0.69,0.69
2022-11,SPORTS,198,6.6,0.26,0.21
2022-11,POKER,38,2.5,0.05,0.08
2022-12,CASINO,567,20.9,0.67,0.68
2022-12,SPORTS,228,7.1,0.27,0.23
2022-12,POKER,51,1.2,0.06,0.04
2023-01,CASINO,572,21.8,0.66,0.65
2023-01,SPORTS,242,9.7,0.28,0.29
2023-01,POKER,52,3.7,0.06,0.11
2023-02,CASINO,598,24.4,0.65,0.65
2023-02,SPORTS,267,8.6,0.29,0.23
2023-02,POKER,55,3.0,0.06,0.08
2023-03,CASINO,581,21.9,0.63,0.62
2023-03,SPORTS,277,8.8,0.3,0.25
2023-03,POKER,65,0.7,0.07,0.02
2023-04,CASINO,599,21.2,0.63,0.6
2023-04,SPORTS,285,10.9,0.3,0.31
2023-04,POKER,67,1.8,0.07,0.05
2023-05,CASINO,675,25.5,0.62,0.64
2023-05,SPORTS,337,12.0,0.31,0.3
2023-05,POKER,76,3.2,0.07,0.08
2023-06,CASINO,651,25.0,0.62,0.64
2023-06,SPORTS,326,12.9,0.31,0.33
2023-06,POKER,74,1.6,0.07,0.04
2023-07,CASINO,690,27.9,0.63,0.69
2023-07,SPORTS,328,9.7,0.3,0.24
2023-07,POKER,77,2.4,0.07,0.06
2023-08,CASINO,638,22.9,0.63,0.6
2023-08,SPORTS,304,13.0,0.3,0.34
2023-08,POKER,71,1.1,0.07,0.03
2023-09,CASINO,697,28.2,0.65,0.62
2023-09,SPORTS,311,11.8,0.29,0.26
2023-09,POKER,64,0.9,0.06,0.02
2023-10,CASINO,706,25.1,0.66,0.64
2023-10,SPORTS,300,11.4,0.28,0.29
2023-10,POKER,64,1.2,0.06,0.03
2023-11,CASINO,769,29.6,0.67,0.62
2023-11,SPORTS,310,12.4,0.27,0.26
2023-11,POKER,69,2.9,0.06,0.06
2023-12,CASINO,902,37.3,0.69,0.71
2023-12,SPORTS,340,12.6,0.26,0.24
2023-12,POKER,65,2.1,0.05,0.04
2024-01,CASINO,876,36.1,0.69,0.72
2024-01,SPORTS,330,11.5,0.26,0.23
2024-01,POKER,64,2.5,0.05,0.05
2024-02,CASINO,988,35.5,0.7,0.69
2024-02,SPORTS,353,10.8,0.25,0.21
2024-02,POKER,71,2.6,0.05,0.05
