FiscalYearQuarter,YearMonth,CashWagers_M,NAGGR_M,ActiveAccounts_K,ARPPA
FY23Q1,2022-04,746,26.6,183,145
FY23Q1,2022-05,770,30.9,204,151
FY23Q1,2022-06,753,31.1,197,158
FY23Q2,2022-07,686,26.2,199,132
FY23Q2,2022-08,668,26.1,199,131
FY23Q2,2022-09,710,30.5,216,141
FY23Q3,2022-10,746,31.9,199,160
FY23Q3,2022-11,763,31.4,225,140
FY23Q3,2022-12,846,30.8,229,134
FY23Q4,2023-01,866,33.6,234,144
FY23Q4,2023-02,920,37.5,264,142
FY23Q4,2023-03,922,35.4,232,153
FY24Q1,2023-04,951,35.3,258,137
FY24Q1,2023-05,1088,39.9,265,151
FY24Q1,2023-06,1050,39.0,275,142
FY24Q2,2023-07,1095,40.5,265,153
FY24Q2,2023-08,1013,38.1,280,136
FY24Q2,2023-09,1073,45.5,279,163
FY24Q3,2023-10,1070,39.2,296,132
FY24Q3,2023-11,1148,47.8,305,157
FY24Q3,2023-12,1307,52.6,311,169
FY24Q4,2024-01,1270,50.1,315,159
FY24Q4,2024-02,1411,51.5,324,159
FY24Q4,2024-03,1533,57.7,331,174
FY25Q1,2024-04,1542,69.3,339,204
FY25Q1,2024-05,1604,63.0,343,184
FY25Q1,2024-06,1616,65.6,335,196
FY25Q2,2024-07,1651,67.7,349,194
FY25Q2,2024-08,1584,66.8,365,183
FY25Q2,2024-09,1626,62.3,361,173
FY25Q3,2024-10,1629,60.5,369,164
FY25Q3,2024-11,1696,65.8,382,172
FY25Q3,2024-12,1748,66.8,388,172
FY25Q4,2025-01,1931,79.9,402,199
FY25Q4,2025-02,1838,72.7,405,180
FY25Q4,2025-03,2043,81.1,404,201
FY26Q1,2025-04,1951,76.9,415,185
FY26Q1,2025-05,1909,81.5,398,205
FY26Q1,2025-06,2052,76.7,421,182
FY26Q2,2025-07,1879,70.6,432,163
FY26Q2,2025-08,1837,76.5,421,182
FY26Q2,2025-09,1731,67.0,444,151
FY26Q3,2025-10,1672,67.0,455,147
FY26Q3,2025-11,1895,69.8,468,149
FY26Q3,2025-12,1809,70.7,469,151
FY26Q4,2026-01,2023,81.5,488,167
FY26Q4,2026-02,2175,76.2,491,155
FY26Q4,2026-03,2064,76.2,472,161
